,support,itemsets
137,0.010586382474104417,"frozenset(['CRCKSCRN', 'floor'])"
138,0.028369967751333353,"frozenset(['CRCKSCRN', u'get'])"
139,0.01002179060790764,"frozenset(['glas', 'CRCKSCRN'])"
140,0.027664675748882175,"frozenset([u'go', 'CRCKSCRN'])"
141,0.01337872649766257,"frozenset(['CRCKSCRN', u'grind'])"
142,0.01691186325249535,"frozenset(['CRCKSCRN', 'hand'])"
143,0.015124938952588452,"frozenset(['CRCKSCRN', 'hit'])"
144,0.010116079240883681,"frozenset(['CRCKSCRN', u'land'])"
145,0.011195431675020465,"frozenset([u'leave', 'CRCKSCRN'])"
146,0.011688533541430571,"frozenset(['on', 'CRCKSCRN'])"
147,0.17671774266173065,"frozenset(['phone', 'CRCKSCRN'])"
148,0.021478266632946403,"frozenset(['pocket', 'CRCKSCRN'])"
149,0.13385908067117222,"frozenset(['screen', 'CRCKSCRN'])"
150,0.010407087508808009,"frozenset(['CRCKSCRN', u'shatter'])"
151,0.010634259603802095,"frozenset([u'start', 'CRCKSCRN'])"
152,0.014351413897949084,"frozenset(['CRCKSCRN', 'still'])"
153,0.011543273678538295,"frozenset(['CRCKSCRN', u'take'])"
154,0.010096863250052641,"frozenset(['CRCKSCRN', 'time'])"
155,0.010629374182404373,"frozenset([u'touch', 'CRCKSCRN'])"
156,0.015832429394668605,"frozenset(['turn', 'CRCKSCRN'])"
157,0.011536434088581484,"frozenset(['use', 'CRCKSCRN'])"
158,0.040991779627108815,"frozenset(['CRCKSCRN', 'work'])"
159,0.010957348805571464,"frozenset(['back', 'LOST'])"
160,0.010684905138958483,"frozenset(['cell', 'LOST'])"
161,0.011504678849496288,"frozenset(['LOST', u'get'])"
162,0.018259099626607243,"frozenset([u'go', 'LOST'])"
163,0.010336330322230997,"frozenset(['know', 'LOST'])"
164,0.011714589122218424,"frozenset([u'leave', 'LOST'])"
165,0.02928883409255496,"frozenset(['LOST', u'lose'])"
166,0.010572703294190794,"frozenset(['park', 'LOST'])"
167,0.04281371611369939,"frozenset(['phone', 'LOST'])"
168,0.011284020649699163,"frozenset(['work', 'LOST'])"
169,0.011674610090447063,"frozenset(['LQDDMG', u'crack'])"
170,0.010582229865916353,"frozenset([u'drop', 'LQDDMG'])"
171,0.033180967896430366,"frozenset(['phone', 'LQDDMG'])"
172,0.01654871359526466,"frozenset(['screen', 'LQDDMG'])"
173,0.012811854768146858,"frozenset(['water', 'LQDDMG'])"
174,0.010085301086078031,"frozenset(['work', 'LQDDMG'])"
175,0.011859523290350853,"frozenset(['back', 'MLFUNC'])"
176,0.01422862697348633,"frozenset(['battery', 'MLFUNC'])"
177,0.015441188564401008,"frozenset([u'call', 'MLFUNC'])"
178,0.03657316024393886,"frozenset([u'charge', 'MLFUNC'])"
179,0.01615022605659044,"frozenset(['MLFUNC', u'get'])"
180,0.020558993173274986,"frozenset([u'go', 'MLFUNC'])"
181,0.01139166276782898,"frozenset(['on', 'MLFUNC'])"
182,0.08398983897488226,"frozenset(['phone', 'MLFUNC'])"
183,0.013384426155959913,"frozenset(['power', 'MLFUNC'])"
184,0.04058954659869634,"frozenset(['screen', 'MLFUNC'])"
185,0.010444705253570469,"frozenset(['sprint', 'MLFUNC'])"
186,0.014813900456933463,"frozenset([u'take', 'MLFUNC'])"
187,0.014603501642071555,"frozenset([u'try', 'MLFUNC'])"
188,0.02174818616517056,"frozenset(['turn', 'MLFUNC'])"
189,0.013709143831528523,"frozenset(['use', 'MLFUNC'])"
190,0.02354903391606097,"frozenset(['work', 'MLFUNC'])"
191,0.0110306301265373,"frozenset(['would', 'MLFUNC'])"
192,0.022243242200139755,"frozenset(['OTHER', u'crack'])"
193,0.015429463553046476,"frozenset([u'drop', 'OTHER'])"
194,0.042398618142272915,"frozenset(['phone', 'OTHER'])"
195,0.02727074793684583,"frozenset(['screen', 'OTHER'])"
196,0.01001258973094193,"frozenset(['work', 'OTHER'])"
197,0.018240372177915975,"frozenset(['phone', 'STOLEN'])"
198,0.012054125909360126,"frozenset(['fell', 'UNRECOV'])"
199,0.010317440026159802,"frozenset([u'go', 'UNRECOV'])"
200,0.034874092105501,"frozenset(['phone', 'UNRECOV'])"
201,0.011952997686427273,"frozenset([u'go', 'back'])"
202,0.03022659072984776,"frozenset(['phone', 'back'])"
203,0.010268830083252465,"frozenset(['screen', 'back'])"
204,0.012192383334915667,"frozenset(['phone', 'black'])"
205,0.016243293334217052,"frozenset(['screen', 'black'])"
206,0.014833442142524352,"frozenset(['phone', u'call'])"
