,support,itemsets
111,0.12287754244915101,"frozenset(['upper', 'cracked'])"
112,0.12287754244915101,"frozenset(['cut', 'died'])"
113,0.12287754244915101,"frozenset(['cut', 'get'])"
114,0.12287754244915101,"frozenset(['cut', 'like'])"
115,0.12287754244915101,"frozenset(['new', 'cut'])"
116,0.12287754244915101,"frozenset(['phone', 'cut'])"
117,0.12287754244915101,"frozenset(['say', 'cut'])"
118,0.12287754244915101,"frozenset(['small', 'cut'])"
119,0.12287754244915101,"frozenset(['cut', 'weakens'])"
120,0.12287754244915101,"frozenset(['died', 'get'])"
121,0.12287754244915101,"frozenset(['like', 'died'])"
122,0.12287754244915101,"frozenset(['new', 'died'])"
123,0.12287754244915101,"frozenset(['phone', 'died'])"
124,0.12287754244915101,"frozenset(['say', 'died'])"
125,0.12287754244915101,"frozenset(['small', 'died'])"
126,0.12287754244915101,"frozenset(['died', 'weakens'])"
127,0.18431631367372653,"frozenset(['glass', 'dropped'])"
128,0.12287754244915101,"frozenset(['hit', 'dropped'])"
129,0.12287754244915101,"frozenset(['dropped', 'left'])"
130,0.12287754244915101,"frozenset(['phone', 'dropped'])"
131,0.12287754244915101,"frozenset(['picture', 'dropped'])"
132,0.12287754244915101,"frozenset(['dropped', 'side'])"
133,0.12287754244915101,"frozenset(['still', 'dropped'])"
134,0.12287754244915101,"frozenset(['dropped', 'together'])"
135,0.12287754244915101,"frozenset(['upper', 'dropped'])"
136,0.12287754244915101,"frozenset(['like', 'get'])"
137,0.12287754244915101,"frozenset(['new', 'get'])"
138,0.12287754244915101,"frozenset(['phone', 'get'])"
139,0.12287754244915101,"frozenset(['say', 'get'])"
140,0.12287754244915101,"frozenset(['small', 'get'])"
141,0.12287754244915101,"frozenset(['weakens', 'get'])"
142,0.18431631367372653,"frozenset(['glass', 'hit'])"
143,0.18431631367372653,"frozenset(['glass', 'left'])"
144,0.18431631367372653,"frozenset(['glass', 'phone'])"
145,0.18431631367372653,"frozenset(['glass', 'picture'])"
146,0.18431631367372653,"frozenset(['glass', 'side'])"
147,0.18431631367372653,"frozenset(['glass', 'still'])"
148,0.18431631367372653,"frozenset(['glass', 'together'])"
149,0.18431631367372653,"frozenset(['upper', 'glass'])"
150,0.12287754244915101,"frozenset(['hit', 'left'])"
151,0.12287754244915101,"frozenset(['phone', 'hit'])"
152,0.12287754244915101,"frozenset(['picture', 'hit'])"
153,0.12287754244915101,"frozenset(['hit', 'side'])"
154,0.12287754244915101,"frozenset(['still', 'hit'])"
155,0.12287754244915101,"frozenset(['hit', 'together'])"
156,0.12287754244915101,"frozenset(['upper', 'hit'])"
157,0.12287754244915101,"frozenset(['phone', 'left'])"
158,0.12287754244915101,"frozenset(['picture', 'left'])"
159,0.12287754244915101,"frozenset(['side', 'left'])"
160,0.12287754244915101,"frozenset(['still', 'left'])"
161,0.12287754244915101,"frozenset(['together', 'left'])"
162,0.12287754244915101,"frozenset(['upper', 'left'])"
163,0.12287754244915101,"frozenset(['new', 'like'])"
164,0.12287754244915101,"frozenset(['phone', 'like'])"
165,0.12287754244915101,"frozenset(['say', 'like'])"
166,0.12287754244915101,"frozenset(['small', 'like'])"
167,0.12287754244915101,"frozenset(['like', 'weakens'])"
168,0.12287754244915101,"frozenset(['new', 'phone'])"
169,0.12287754244915101,"frozenset(['new', 'say'])"
170,0.12287754244915101,"frozenset(['small', 'new'])"
171,0.12287754244915101,"frozenset(['new', 'weakens'])"
172,0.12287754244915101,"frozenset(['phone', 'picture'])"
173,0.12287754244915101,"frozenset(['phone', 'say'])"
174,0.12287754244915101,"frozenset(['phone', 'side'])"
175,0.12287754244915101,"frozenset(['small', 'phone'])"
176,0.12287754244915101,"frozenset(['phone', 'still'])"
177,0.12287754244915101,"frozenset(['phone', 'together'])"
178,0.12287754244915101,"frozenset(['upper', 'phone'])"
179,0.12287754244915101,"frozenset(['phone', 'weakens'])"
180,0.12287754244915101,"frozenset(['picture', 'side'])"
181,0.12287754244915101,"frozenset(['picture', 'still'])"
182,0.12287754244915101,"frozenset(['picture', 'together'])"
183,0.12287754244915101,"frozenset(['upper', 'picture'])"
184,0.12287754244915101,"frozenset(['small', 'say'])"
185,0.12287754244915101,"frozenset(['say', 'weakens'])"
186,0.12287754244915101,"frozenset(['still', 'side'])"
187,0.12287754244915101,"frozenset(['side', 'together'])"
188,0.12287754244915101,"frozenset(['upper', 'side'])"
189,0.12287754244915101,"frozenset(['small', 'weakens'])"
190,0.12287754244915101,"frozenset(['still', 'together'])"
191,0.12287754244915101,"frozenset(['upper', 'still'])"
192,0.12287754244915101,"frozenset(['upper', 'together'])"
193,0.12287754244915101,"frozenset(['battery', 'charger', 'CRCKSCRN'])"
194,0.12287754244915101,"frozenset(['battery', 'chargers', 'CRCKSCRN'])"
195,0.12287754244915101,"frozenset(['battery', 'CRCKSCRN', 'crack'])"
196,0.12287754244915101,"frozenset(['battery', 'cut', 'CRCKSCRN'])"
197,0.12287754244915101,"frozenset(['battery', 'CRCKSCRN', 'died'])"
198,0.12287754244915101,"frozenset(['battery', 'CRCKSCRN', 'get'])"
